FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
StartTime,02/10/2017 16:13:52

DEVICE_INFO
ModelName,3DM-GX3-35
ModelNumber,6225-4220
SerialNumber,6225-01353
DeviceOptions,GPS
FirmwareVersion,1.1.19

DATA_START
GPS TFlags,GPS Week,GPS TOW,Roll [x800C],Pitch [x800C],Yaw [x800C],M11 [x8009],M12 [x8009],M13 [x8009],M21 [x8009],M22 [x8009],M23 [x8009],M31 [x8009],M32 [x8009],M33 [x8009],X Accel [x8004],Y Accel [x8004],Z Accel [x8004],X Gyro [x8005],Y Gyro [x8005],Z Gyro [x8005],X Mag [x8006],Y Mag [x8006],Z Mag [x8006],Lat [x8103],Long [x8103],Height [x8103],MSL Height [x8103],Horz Acc [x8103],Vert Acc [x8103],Flags [x8103],UTC Year [x8108],UTC Month [x8108],UTC Day [x8108],UTC Hour [x8108],UTC Minute [x8108],UTC Second [x8108],UTC Millesecond [x8108],Flags [x8108],SVI Channel [x810C],SVI ID [x810C],SVI CNR [x810C],SVI Azimuth [x810C],SVI Elev [x810C],SVI Flags [x810C],[x810C],HW Sensor Stat [x810D],HW Ant Stat [x810D],HW Ant Pwr [x810D],Flags [x810D],GPS Fix [x810B],GPS SVs Used [x810B],GPS Fix Flags [x810B]
7,1969,137650.203104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01833678,-0.00991957,-1.00373149,0.00108725,0.00380727,0.00399178,0.12086555,0.01135163,0.58483499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.213104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01942144,-0.0101257,-1.00434494,0.00214922,0.00338681,-0.00010791,0.12059665,0.0110655,0.58488053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.223104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.01866713,-0.00953867,-1.00398123,-0.00045388,0.00046739,-0.0033657,0.12075984,0.01031709,0.58472508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.233104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.02066215,-0.00929092,-1.00386369,0.00048545,0.00167383,0.00231573,0.12082421,0.00903304,0.5832631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.243104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.0191405,-0.01060366,-1.00467277,0.00302902,0.00177979,0.00311779,0.12136474,0.00726993,0.58130443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.253104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.0210055,-0.01022663,-1.00353992,0.0014751,0.00064549,0.00067755,0.12200433,0.00714499,0.58102643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.263104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.01883232,-0.00878925,-1.00396001,0.00224133,0.00222735,-0.00176373,0.12186756,0.00768047,0.58143145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.273104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.02087495,-0.01029797,-1.0037154,-0.00238705,0.00294098,0.00076056,0.12116015,0.00934752,0.58278471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.283104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.02011852,-0.01015418,-1.00257683,0.00124051,0.00239551,0.00453647,0.12108259,0.00982317,0.58339232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.293104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.02182066,-0.01060931,-1.00113463,0.00293987,0.00145437,-0.00115038,0.12096519,0.00979708,0.58308774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
