# time [s],                    x_linear_position [m],                    y_linear_position [m],                    z_linear_position [m],                    x_orientation,                    y_orientation,                    z_orientation,                    w_orientation
1.536097658494821310e+09,6.254762119908729801e+05,5.041735582155398093e+06,2.471002811635232987e+01,-5.765681185869727526e-03,9.440880711335159631e-03,-6.465370942237644858e-01,7.628023416879031737e-01
1.536097658940770149e+09,6.254761475422804942e+05,5.041735488115998916e+06,2.471437181856637721e+01,-6.073406047956225740e-03,9.245920566357960016e-03,-6.210704542987535159e-01,7.836766664186176623e-01
1.536097659390754223e+09,6.254761813884690637e+05,5.041735374099739827e+06,2.470584086122217116e+01,6.849606322244777140e-03,1.989276837277794210e-02,-5.974485016921046165e-01,8.016312422090074996e-01
1.536097659816208363e+09,6.254762289177294588e+05,5.041735241094009019e+06,2.470635670118850058e+01,6.168940464172651197e-03,2.011426145430707940e-02,-5.698332580681506609e-01,8.214909729626576063e-01
1.536097660312234402e+09,6.254762866602507420e+05,5.041735103609766811e+06,2.470794139863214056e+01,2.379734085488661392e-03,1.403560158161363224e-02,-5.402241934654132827e-01,8.414007128286546955e-01
1.536097660739860296e+09,6.254762331959601725e+05,5.041734908554040827e+06,2.471516548254172818e+01,1.983470706592757159e-03,1.409705962360662326e-02,-5.163114284814517285e-01,8.562825746057005638e-01
1.536097661285712242e+09,6.254763070273065241e+05,5.041734777651392855e+06,2.472506423299023126e+01,-1.209064073786337949e-02,5.943861167235310605e-03,-4.911408731737652023e-01,8.709759638584086971e-01
1.536097661670122623e+09,6.254763982581190066e+05,5.041734654315129854e+06,2.472512460873564066e+01,-1.221906082352819389e-02,5.675176791816077641e-03,-4.717702209677276382e-01,8.816185941375295210e-01
1.536097662148129940e+09,6.254764828609494725e+05,5.041734526251378469e+06,2.472188311027598573e+01,-1.097010417796625767e-02,7.619674305148865269e-03,-4.601871904565437710e-01,8.877214355401814583e-01
1.536097662600113392e+09,6.254765672176801600e+05,5.041734415491873398e+06,2.472019875037334202e+01,-1.101096461553263336e-02,7.560507947715344734e-03,-4.554016041318640906e-01,8.901859223397845522e-01
1.536097663057078600e+09,6.254766208728360943e+05,5.041734223254107870e+06,2.471332892922575297e+01,-1.102774484555563671e-02,7.536011266797562787e-03,-4.534215450351555265e-01,8.911961062952086232e-01
1.536097663535607576e+09,6.254767220228411024e+05,5.041734072625716217e+06,2.470663076931304758e+01,-8.700463538057852039e-03,1.827281384048539195e-02,-4.518039078544411891e-01,8.918876807401421303e-01
1.536097663962463140e+09,6.254768311525807949e+05,5.041733938432444818e+06,2.470881458465759906e+01,-8.719403098913995620e-03,1.826378386383165769e-02,-4.508790055251180040e-01,8.923556065746739430e-01
1.536097664416290522e+09,6.254769436434220988e+05,5.041733801698465832e+06,2.471324591454364850e+01,-1.086363674048303890e-02,1.590277303489335756e-02,-4.483648157509602106e-01,8.936431475724406770e-01
1.536097664823197365e+09,6.254769720719323959e+05,5.041733591507975012e+06,2.471996495699000818e+01,-1.084646059925306258e-02,1.591449295131186839e-02,-4.493293976270509305e-01,8.931585389138273490e-01
1.536097665280508995e+09,6.254770757470304379e+05,5.041733454866768792e+06,2.471961874310677842e+01,-2.090333734777581262e-02,1.316574889472846115e-02,-4.473853071898472034e-01,8.940000561825554026e-01
1.536097665714051485e+09,6.254771781230046181e+05,5.041733320929436944e+06,2.471263970063606052e+01,-2.092533003541062822e-02,1.313076612932789593e-02,-4.458893158713203575e-01,8.947471327339204805e-01
1.536097666181993723e+09,6.254772698817743221e+05,5.041733206549025141e+06,2.470320191725717152e+01,-1.893446037441670962e-02,2.266901605692622432e-02,-4.463453483258498777e-01,8.943732061892374352e-01
1.536097666627573252e+09,6.254773780037928373e+05,5.041733072562369518e+06,2.469769601130194658e+01,-1.911108791648278432e-02,2.252031077290011368e-02,-4.393403019156603140e-01,8.978350076901638888e-01
1.536097667102314949e+09,6.254774222349332413e+05,5.041732919756013900e+06,2.468907222919445488e+01,-2.312229342369996783e-03,3.454536833515692990e-02,-4.252468794902583560e-01,9.044149283408884354e-01
1.536097667559044123e+09,6.254775223544666078e+05,5.041732811138396151e+06,2.467983279707758015e+01,-3.261331177479247136e-03,3.446871910724536026e-02,-4.002152084245490515e-01,9.157669234405397818e-01
1.536097668018418550e+09,6.254776279474938056e+05,5.041732687148613855e+06,2.467194646087668630e+01,-4.238861348051655223e-03,3.436220208914693430e-02,-3.740477753441238118e-01,9.267629324062161000e-01
1.536097668556002855e+09,6.254777198852811707e+05,5.041732613945429213e+06,2.467734036614823623e+01,-7.369281377948003718e-03,2.321450470432104285e-02,-3.500538503175477101e-01,9.364128802729946299e-01
1.536097668980627298e+09,6.254777969973227009e+05,5.041732430700982921e+06,2.467911636229460370e+01,-8.299909265035335104e-03,2.289827598066055195e-02,-3.119876569037203229e-01,9.497739112036253095e-01
1.536097669436968803e+09,6.254779038702230901e+05,5.041732363603368402e+06,2.468428986494073385e+01,-1.072737910413173318e-02,1.375377183191222978e-02,-2.768484452194511225e-01,9.607552734580874221e-01
1.536097669924251080e+09,6.254780408466464141e+05,5.041732288827944547e+06,2.468343933752982267e+01,-1.131516527589725499e-02,1.327440909521751880e-02,-2.348190606538070602e-01,9.718825885113981933e-01
1.536097670370830774e+09,6.254781484263050370e+05,5.041732238792065531e+06,2.468591033086140030e+01,-1.331147635197136268e-02,3.918034110048179697e-03,-2.035689013978622675e-01,9.789622852744178649e-01
1.536097670823078871e+09,6.254782017846761737e+05,5.041732038640738465e+06,2.467331147072937725e+01,-1.342912361942829452e-02,3.493570204061590204e-03,-1.723952763452740733e-01,9.849301103631058485e-01
1.536097671250683069e+09,6.254783127485987497e+05,5.041732010461217724e+06,2.466710951223756965e+01,-1.702700658680640980e-03,1.170838008868973351e-02,-1.405834220325144213e-01,9.899981394405715784e-01
1.536097671759652853e+09,6.254784457736179465e+05,5.041731976327093318e+06,2.466565593298011905e+01,-2.148392620406735804e-03,1.163485122306596314e-02,-1.026906994299014164e-01,9.946429685554325495e-01
1.536097672154129028e+09,6.254785804228468332e+05,5.041731946114454418e+06,2.466022191013914266e+01,5.882025160462754990e-03,1.772913606348124754e-02,-6.341572054831612348e-02,9.978123700885813685e-01
1.536097672602661133e+09,6.254786909216999775e+05,5.041731952717578970e+06,2.465266069340716015e+01,5.276722026219020194e-03,1.791861295423736664e-02,-2.950297786587612048e-02,9.993901409417145221e-01
1.536097673094326735e+09,6.254787875467395643e+05,5.041731685367150232e+06,2.464684135124011277e+01,4.566416724328463753e-03,1.811265645468718849e-02,9.907751762121245684e-03,9.997764329936339456e-01
1.536097673512746572e+09,6.254789273546623299e+05,5.041731672988132574e+06,2.464934033079551412e+01,-1.014471024272572313e-03,-4.671163734039912932e-03,4.521696482805963313e-02,9.989657537521738906e-01
1.536097673950702667e+09,6.254790522749130614e+05,5.041731695441119373e+06,2.464401090479922019e+01,-8.352975809935108244e-04,-4.706506139429197412e-03,8.334329734302377279e-02,9.965094308966186976e-01
1.536097674430591106e+09,6.254792843472093809e+05,5.041731672876084223e+06,2.463109058540715068e+01,6.679504903704584426e-03,2.012384664471247170e-02,1.117720991723445134e-01,9.935076310009245404e-01
1.536097674865311623e+09,6.254789855675236322e+05,5.041731640515579842e+06,2.463502732259169292e+01,5.771128160359974800e-03,2.040291815636231798e-02,1.561749254410773891e-01,9.875018013522482985e-01
1.536097675313099384e+09,6.254793772897874005e+05,5.041731676414459012e+06,2.463614248232337189e+01,3.751437654773619700e-03,1.256471004653981691e-02,1.935801419001317303e-01,9.809968315131775141e-01
1.536097675768586397e+09,6.254794681610257830e+05,5.041731706152338535e+06,2.463403081509589754e+01,3.640329161939374544e-03,1.259734998418340739e-02,2.022360294498861955e-01,9.792490199991589206e-01
1.536097676255260229e+09,6.254795821391758509e+05,5.041731745807535015e+06,2.463257190843853905e+01,-5.304416892245232724e-03,8.846812680351253538e-03,2.080649021635993523e-01,9.780606287723088155e-01
1.536097676699094534e+09,6.254798119925631909e+05,5.041731789236588404e+06,2.463242626807490865e+01,-5.319211094650322207e-03,8.837925463507220400e-03,2.097010068803904503e-01,9.777111458811251765e-01
