# time [s],                        UTM easting [m, +ve = towards East]                        UTM northing [m, +ve = towards North]                        altitude [m]
1.536097581278495789e+09,6.255006362668162910e+05,5.041744211907745339e+06,2.654000091552734375e+01
1.536097581327143908e+09,6.255006124379655812e+05,5.041744257369184867e+06,2.655999946594238281e+01
1.536097581374719858e+09,6.255006087084522005e+05,5.041744268038190901e+06,2.655999946594238281e+01
1.536097581423827410e+09,6.255006038227007957e+05,5.041744284426351078e+06,2.654999923706054688e+01
1.536097581472575426e+09,6.255005980985043570e+05,5.041744277643309906e+06,2.662999916076660156e+01
1.536097581521329165e+09,6.255005948623447912e+05,5.041744270169122145e+06,2.662000083923339844e+01
1.536097581568918467e+09,6.255005950425323099e+05,5.041744293697621673e+06,2.662999916076660156e+01
1.536097581617628098e+09,6.255005815021556336e+05,5.041744306578323245e+06,2.662000083923339844e+01
1.536097581665353775e+09,6.255005754471827531e+05,5.041744355359272100e+06,2.659000015258789062e+01
1.536097581714459896e+09,6.255005715685110772e+05,5.041744360468229279e+06,2.657999992370605469e+01
1.536097581763185978e+09,6.255005565856153844e+05,5.041744380359005183e+06,2.657999992370605469e+01
1.536097581811620474e+09,6.255005522682589944e+05,5.041744387867244892e+06,2.657999992370605469e+01
1.536097581861581802e+09,6.255005396099032369e+05,5.041744356679582968e+06,2.662999916076660156e+01
1.536097581908785582e+09,6.255005244898868259e+05,5.041744383421321400e+06,2.662999916076660156e+01
1.536097581957990885e+09,6.255005158732419368e+05,5.041744391028747894e+06,2.662999916076660156e+01
1.536097582004458189e+09,6.255005161975016817e+05,5.041744400852712803e+06,2.662999916076660156e+01
1.536097582046400309e+09,6.255004955640941625e+05,5.041744351722836494e+06,2.665999984741210938e+01
1.536097582132934093e+09,6.255004932053051889e+05,5.041744339450091124e+06,2.664999961853027344e+01
1.536097582181282997e+09,6.255004893938008463e+05,5.041744347709396854e+06,2.663999938964843750e+01
1.536097582229035854e+09,6.255004847943291534e+05,5.041744362806639634e+06,2.664999961853027344e+01
1.536097582276977062e+09,6.255004891653887462e+05,5.041744430690266192e+06,2.661000061035156250e+01
1.536097582325268507e+09,6.255004911475725239e+05,5.041744429248058237e+06,2.661000061035156250e+01
1.536097582374795914e+09,6.255004849300215719e+05,5.041744440608208068e+06,2.661000061035156250e+01
1.536097582422252417e+09,6.255004818851688178e+05,5.041744456107038073e+06,2.660000038146972656e+01
1.536097582470768690e+09,6.255004732578423573e+05,5.041744522804331034e+06,2.653000068664550781e+01
1.536097582519812107e+09,6.255004662745618261e+05,5.041744539891449735e+06,2.652000045776367188e+01
1.536097582568243742e+09,6.255004601172282128e+05,5.041744561255515553e+06,2.653000068664550781e+01
1.536097582618132353e+09,6.255004574628818082e+05,5.041744576762158424e+06,2.653000068664550781e+01
1.536097582665829659e+09,6.255004509572091047e+05,5.041744563480237499e+06,2.653000068664550781e+01
1.536097582713629961e+09,6.255004522482434986e+05,5.041744570545020513e+06,2.652000045776367188e+01
1.536097582762141228e+09,6.255004424985178048e+05,5.041744595727126114e+06,2.651000022888183594e+01
1.536097582810542583e+09,6.255004354258333333e+05,5.041744610774869099e+06,2.650000000000000000e+01
1.536097582858775139e+09,6.255004415576386964e+05,5.041744701292453334e+06,2.643000030517578125e+01
1.536097582907846689e+09,6.255004335890549701e+05,5.041744722064559348e+06,2.643000030517578125e+01
1.536097582954690933e+09,6.255004195173457265e+05,5.041744741973572411e+06,2.643000030517578125e+01
