# time [s],                    latitude [deg, +ve = towards North]                    longitude [deg, +ve = towards East]                    altitude [m]
1.536097574099745035e+09,4.551791178166666185e+01,-7.339309453166667652e+01,2.695999908447265625e+01
1.536097574146775723e+09,4.551791201666666353e+01,-7.339309460500000171e+01,2.697999954223632812e+01
1.536097574195800304e+09,4.551791215666666801e+01,-7.339309461666667289e+01,2.698999977111816406e+01
1.536097574245567322e+09,4.551791281000000566e+01,-7.339309463833333780e+01,2.685000038146972656e+01
1.536097574293374538e+09,4.551791309833333798e+01,-7.339309474666667654e+01,2.686000061035156250e+01
1.536097574341259718e+09,4.551791324333333222e+01,-7.339309462333334011e+01,2.686000061035156250e+01
1.536097574389807940e+09,4.551791335666666782e+01,-7.339309466999999643e+01,2.685000038146972656e+01
1.536097574481262445e+09,4.551791338666667031e+01,-7.339309467333332293e+01,2.693000030517578125e+01
1.536097574530344486e+09,4.551791334500000374e+01,-7.339309466999999643e+01,2.690999984741210938e+01
1.536097574577958822e+09,4.551791348499999401e+01,-7.339309476166666002e+01,2.689999961853027344e+01
1.536097574626287460e+09,4.551791364666666340e+01,-7.339309484666665639e+01,2.689999961853027344e+01
1.536097574675729513e+09,4.551791430500000502e+01,-7.339309486833333551e+01,2.681999969482421875e+01
1.536097574724421501e+09,4.551791461500000224e+01,-7.339309501666666335e+01,2.682999992370605469e+01
1.536097574771695852e+09,4.551791476000000358e+01,-7.339309511500000838e+01,2.681999969482421875e+01
1.536097574820566177e+09,4.551791495666666520e+01,-7.339309518499999285e+01,2.680999946594238281e+01
1.536097574869177580e+09,4.551791465999999531e+01,-7.339309538999999916e+01,2.687000083923339844e+01
1.536097574920698643e+09,4.551791457666666219e+01,-7.339309540166667034e+01,2.685000038146972656e+01
1.536097574967425823e+09,4.551791475166666601e+01,-7.339309543166667993e+01,2.686000061035156250e+01
1.536097575012290239e+09,4.551791493333333705e+01,-7.339309555333332469e+01,2.686000061035156250e+01
1.536097575055178404e+09,4.551791508833333211e+01,-7.339309540166667034e+01,2.689999961853027344e+01
1.536097575098450899e+09,4.551791521999999901e+01,-7.339309548666666672e+01,2.689999961853027344e+01
1.536097575146197796e+09,4.551791531333333296e+01,-7.339309550166666440e+01,2.690999984741210938e+01
1.536097575194391966e+09,4.551791547833332885e+01,-7.339309560833333990e+01,2.690999984741210938e+01
1.536097575243399858e+09,4.551791544833333347e+01,-7.339309576666666146e+01,2.695000076293945312e+01
1.536097575290886879e+09,4.551791534833332520e+01,-7.339309580000001176e+01,2.693000030517578125e+01
1.536097575339179039e+09,4.551791543833333265e+01,-7.339309590666667305e+01,2.693000030517578125e+01
1.536097575432023764e+09,4.551791555166666114e+01,-7.339309599166666942e+01,2.693000030517578125e+01
1.536097575480163336e+09,4.551791542333333496e+01,-7.339309616833334360e+01,2.701000022888183594e+01
1.536097575528884888e+09,4.551791534833332520e+01,-7.339309613833333401e+01,2.700000000000000000e+01
1.536097575577071667e+09,4.551791546500000152e+01,-7.339309624833332180e+01,2.700000000000000000e+01
1.536097575625949860e+09,4.551791563333333102e+01,-7.339309636666666847e+01,2.700000000000000000e+01
1.536097575674545288e+09,4.551791604833333338e+01,-7.339309657833334199e+01,2.694000053405761719e+01
1.536097575722912550e+09,4.551791630666666322e+01,-7.339309672666666984e+01,2.695000076293945312e+01
1.536097575770635128e+09,4.551791643500000362e+01,-7.339309689333332187e+01,2.695000076293945312e+01
1.536097575818605900e+09,4.551791659833334336e+01,-7.339309708666665699e+01,2.695999908447265625e+01
1.536097575868279219e+09,4.551791713833333120e+01,-7.339309722500000532e+01,2.687999916076660156e+01
1.536097575916770935e+09,4.551791736333333205e+01,-7.339309734666667850e+01,2.687999916076660156e+01
1.536097575964801788e+09,4.551791750666666303e+01,-7.339309758999999644e+01,2.687000083923339844e+01
1.536097576010619164e+09,4.551791771999999980e+01,-7.339309774999999547e+01,2.687000083923339844e+01
1.536097576054644585e+09,4.551791829499999409e+01,-7.339309796166666899e+01,2.678000068664550781e+01
1.536097576097863913e+09,4.551791862833333369e+01,-7.339309812166666802e+01,2.678000068664550781e+01
1.536097576145090580e+09,4.551791880333333751e+01,-7.339309845333333726e+01,2.677000045776367188e+01
1.536097576192320347e+09,4.551791890666666518e+01,-7.339309854666666411e+01,2.676000022888183594e+01
1.536097576241466999e+09,4.551791905499999302e+01,-7.339309867166666379e+01,2.677000045776367188e+01
1.536097576289930344e+09,4.551791904333332894e+01,-7.339309872833334225e+01,2.676000022888183594e+01
1.536097576381977320e+09,4.551791917666665910e+01,-7.339309887166668034e+01,2.675000000000000000e+01
1.536097576430227041e+09,4.551791943500000315e+01,-7.339309909666667409e+01,2.676000022888183594e+01
1.536097576478182554e+09,4.551791960833334372e+01,-7.339309934666667345e+01,2.673999977111816406e+01
1.536097576526883841e+09,4.551791938333334286e+01,-7.339309933999999203e+01,2.671999931335449219e+01
1.536097576576767921e+09,4.551791952499999638e+01,-7.339309956000001023e+01,2.671999931335449219e+01
1.536097576624148130e+09,4.551791964166667270e+01,-7.339309967833332848e+01,2.671999931335449219e+01
1.536097576672206640e+09,4.551791985333332491e+01,-7.339309978833333048e+01,2.670999908447265625e+01
1.536097576721212387e+09,4.551791989166666497e+01,-7.339309991000000366e+01,2.670999908447265625e+01
1.536097576771417856e+09,4.551792004499999678e+01,-7.339310012333334043e+01,2.670000076293945312e+01
1.536097576817667246e+09,4.551792010500000174e+01,-7.339310026166666034e+01,2.670000076293945312e+01
1.536097576866039753e+09,4.551792036333333158e+01,-7.339310025833333384e+01,2.670000076293945312e+01
1.536097576914544106e+09,4.551792041000000211e+01,-7.339310029833333715e+01,2.670000076293945312e+01
1.536097576967759609e+09,4.551792056166667066e+01,-7.339310046166666268e+01,2.669000053405761719e+01
1.536097577009512424e+09,4.551792069333332336e+01,-7.339310054833332231e+01,2.669000053405761719e+01
1.536097577052677631e+09,4.551792100499999805e+01,-7.339310052333333090e+01,2.664999961853027344e+01
1.536097577095297575e+09,4.551792084166666541e+01,-7.339310055833333024e+01,2.663999938964843750e+01
1.536097577142865658e+09,4.551792098166666989e+01,-7.339310076333332233e+01,2.662999916076660156e+01
1.536097577191766262e+09,4.551792107666666709e+01,-7.339310089166666273e+01,2.662999916076660156e+01
